SEQUENCE_GENBANK_STRAIN,SEQUENCE_GENBANK_ACCESSION
USA/WA-CDC-UW22091188597/2022,OP547964.1
USA/WA-UW-21042828208/2021,MZ434030.1
USA/WA-PHL-032494/2023,PQ372467.1
USA/WA-CDC-LC0573662/2022,ON295759.1
USA/WA-UW-22081030352/2022,OP412598.1
USA/WA-CDC-QDX36219543/2022,ON489441.1
USA/WA-CDC-UW21082699901/2021,OK110951.1
USA/WA-UW-22042474150/2022,ON631335.1
USA/WA-CDC-LC0281047/2021,OK363466.1
USA/WA-CDC-QDX37843437/2022,ON846965.1
USA/WA-PHL-019841/2022,OQ986378.1
USA/WA-UW-60051/2021,MW879564.1
USA/WA-UW-21072669395/2021,MZ815126.1
USA/WA-UW-22022350727/2022,ON076960.1
USA/WA-S19283/2022,ON207300.1
USA/WA-PHL-018344/2022,OQ921254.1
USA/WA-CDC-UW21073195378/2021,MZ788395.1
USA/WA-PHL-034629/2023,PQ372902.1
USA/WA-UW-67114/2021,MZ360659.1
USA/WA-S13664/2021,OL516055.1
USA/WA-S9282/2021,MZ513751.1
USA/WA-CDC-UW21122408320/2021,OM188617.1
USA/WA-CDC-UW21121715858/2021,OM131855.1
USA/WA-CDC-UW21070135605/2021,MZ714681.1
USA/WA-CDC-LC0022287/2021,MW780127.1
USA/WA-CDC-UW22060885851/2022,ON827274.1
USA/WA-CDC-LC0499756/2022,OM497542.1
USA/WA-CDC-UW21122718615/2021,OM232594.1
USA/WA-UW-22072661958/2022,OP242609.1
USA/WA-S14400/2021,OL676533.1
USA/WA-PHL-022878/2022,OQ771803.1
USA/WA-PHL-034302/2022,PQ414796.1
USA/WA-S10106/2021,MZ769941.1
USA/WA-UW-22042136690/2022,ON626862.1
USA/WA-CDC-QDX31492668/2021,OL865607.1
USA/WA-PHL-007679/2021,PQ173143.1
USA/WA-CDC-UW21111551238/2021,OL825149.1
USA/WA-PHL-022331/2022,PP478027.1
USA/WA-PHL-027852/2022,OQ784984.1
USA/WA-CDC-LC0485986/2022,OM412237.1
USA/WA-CDC-LC0973027/2022,OQ187222.1
USA/WA-UW-21111656595/2021,OL965408.1
USA/WA-CDC-UW22070399786/2022,ON999348.1
USA/WA-CDC-FG-062159/2021,MZ764054.1
USA/WA-CDC-LC0394905/2021,OL833643.1
USA/WA-CDC-UW21120457262/2021,OM004298.1
USA/WA-CDC-UW21042173053/2021,MZ153009.1
USA/WA-UW-2021040300331/2021,MZ239053.1
USA/WA-CDC-UW21082873148/2021,OK110734.1
USA/WA-PHL-010695/2022,PQ174818.1
USA/WA-S13246/2021,OL333855.1
USA/WA-UW-66934/2021,MZ360531.1
USA/WA-CDC-LC0825742/2022,OP248534.1
USA/WA-CDC-UW21061416203/2021,MZ440956.1
USA/WA-UW-21050576767/2021,MZ278562.1
USA/WA-CDC-UW21111961101/2021,OL679239.1
USA/WA-CDC-FG-096254/2021,OK068916.1
USA/WA-S20013/2022,ON521523.1
USA/WA-UW-2021041544943/2021,MZ233384.1
USA/WA-CDC-UW22013095886/2022,OM666809.1
USA/WA-CDC-UW22061540152/2022,ON894294.1
USA/WA-CDC-LC0690912/2022,ON788798.1
USA/WA-UW-21072607227/2021,MZ835935.1
USA/WA-CDC-LC0537496/2022,OM789847.1
USA/WA-UW-21071277604/2021,MZ711497.1
USA/WA-CDC-LC0324046/2021,OK609240.1
USA/WA-CDC-LC0786377/2022,OP109516.1
USA/WA-CDC-UW22022610136/2022,ON026194.1
USA/WA-PHL-019851/2022,OQ986385.1
USA/WA-UW-5781/2020,MT683404.1
USA/WA-PHL-019837/2022,OQ986376.1
USA/WA-S16751/2022,OM437178.1
USA/WA-CDC-QDX43942961/2022,OP991043.1
USA/WA-UW-22041584672/2022,ON478629.1
USA/WA-S20822/2022,ON810257.1
USA/WA-CDC-UW23011362345/2023,OQ306858.1
USA/WA-UW-22011044627/2022,OM569727.1
USA/WA-CDC-ASC210203797/2021,OK029743.1
USA/WA-CDC-UW21100388766/2021,OK534483.1
USA/WA-CDC-QDX35824271/2022,ON362955.1
USA/WA-CDC-UW21121765199/2021,OM065599.1
USA/WA-CDC-UW22010953258/2022,OM348405.1
USA/WA-CDC-UW21121009109/2021,OL914299.1
USA/WA-CDC-LC0417141/2021,OL884132.1
USA/WA-UW-22052548983/2022,ON711460.1
USA/WA-S24595/2023,PP319516.1
USA/WA-S777/2020,MT641621.1
USA/WA-CDC-UW21100185458/2021,OK616000.1
USA/WA-CDC-UW22022762226/2022,ON026216.1
USA/WA-PHL-019707/2022,OQ982264.1
USA/WA-S6467/2021,MZ068454.1
USA/WA-PHL-028507/2021,PQ413269.1
USA/WA-S16100/2022,OM296906.1
USA/WA-UW-22082388336/2022,OP443716.1
USA/WA-S7178/2021,MZ158479.1
USA/WA-CDC-FG-082231/2021,MZ928916.1
USA/WA-CDC-FG-262371/2022,OM668783.1
USA/WA-S11692/2021,OK335431.1
USA/WA-CDC-UW22121291517/2022,OQ130883.1
USA/WA-CDC-UW21071020875/2021,OK189347.1
USA/WA-S4102/2021,MW555973.2
USA/WA-PHL-009808/2021,PQ174063.1
USA/WA-CDC-UW21122495585/2021,OM188534.1
USA/WA-UW-23010438325/2023,OQ306062.1
USA/WA-CDC-LC0580414/2022,ON349283.1
USA/WA-CDC-UW21052693797/2021,OK189303.1
USA/WA-UW-21092106573/2021,OK375275.1
USA/WA-PHL-017808/2022,OQ917942.1
USA/WA-S4491/2021,MW648015.2
USA/WA-CDC-FG-096854/2021,OK141129.1
USA/WA-CDC-FG-096067/2021,OK068829.1
USA/WA-CDC-UW22112645322/2022,OQ028709.1
USA/WA-CDC-LC0203164/2021,OK101344.1
USA/WA-UW-23031796876/2023,OQ704087.1
USA/WA-PHL-007248/2021,PQ172759.1
USA/WA-PHL-000995/2021,PP700821.1
USA/WA-CDC-UW21081708441/2021,OK068198.1
USA/WA-CDC-LC0365389/2021,OL559163.1
USA/WA-CDC-FG-150135/2021,OK614179.1
USA/WA-CDC-LC0723588/2022,ON895534.1
USA/WA-CDC-LC0640456/2022,ON609228.1
USA/WA-S19488/2022,ON207493.1
USA/WA-CDC-UW21071566459/2021,MZ729389.1
USA/WA-CDC-UW22110556347/2022,OP861033.1
USA/WA-UW-22120302552/2022,OQ070183.1
USA/WA-CDC-UW21121768356/2021,OM065584.1
USA/WA-UW-22072462237/2022,OP242989.1
USA/WA-UW-21092850445/2021,OK556962.1
USA/WA-CDC-UW22051914910/2022,ON691699.1
USA/WA-PHL-019639/2022,OQ982218.1
USA/WA-CDC-UW22102860376/2022,OP868595.1
USA/WA-CDC-QDX30567184/2021,OL504332.1
USA/WA-CDC-UW21082911428/2021,OK159014.1
USA/WA-PHL-023139/2022,OQ771867.1
USA/WA-CDC-UW23122809648/2023,PP106553.1
USA/WA-UW-22092022145/2022,OP601874.1
USA/WA-CDC-UW21071493916/2021,MZ729413.1
USA/WA-CDC-UW22010814498/2022,OM404359.1
USA/WA-CDC-FG-159132/2021,OL374339.1
USA/WA-S6664/2021,MZ144468.1
USA/WA-CDC-UW22101779905/2022,OP776533.1
USA/WA-UW-22042672759/2022,ON711402.1
USA/WA-CDC-QDX85699046/2023,OR649809.1
USA/WA-CDC-UW23020273297/2023,OQ443298.1
USA/WA-PHL-017375/2022,OQ921169.1
USA/WA-UW-22042738892/2022,ON740686.1
USA/WA-CDC-LC0771338/2022,OP026614.1
USA/WA-PHL-032338/2022,OQ836139.1
USA/WA-CDC-QDX33873959/2022,OM894409.1
USA/WA-PHL-004068/2021,PP628885.1
USA/WA-CDC-UW22062234656/2022,ON982686.1
USA/WA-PHL-002274/2021,PP628071.1
USA/WA-CDC-UW21070856295/2021,MZ688271.1
USA/WA-CDC-UW22051247157/2022,ON689069.1
USA/WA-CDC-FG-035733/2021,MZ344276.1
USA/WA-CDC-LC0013237/2021,MW643046.1
USA/WA-UW-22072831931/2022,OP348405.1
USA/WA-CDC-UW22032739667/2022,ON305278.1
USA/WA-UW-22080212684/2022,OP348804.1
USA/WA-CDC-LC0608804/2022,ON499746.1
USA/WA-CDC-UW22121746070/2022,OQ338898.1
USA/WA-CDC-UW22021427790/2022,OM900978.1
USA/WA-PHL-007459/2021,PQ172928.1
USA/WA-PHL-016387/2022,OQ711699.1
USA/WA-UW-22082300427/2022,OP443687.1
USA/WA-S16010/2021,OM296816.1
USA/WA-CDC-UW22010717052/2022,OM348212.1
USA/WA-CDC-LC0803880/2022,OP166814.1
USA/WA-CDC-UW22032807876/2022,ON305299.1
USA/WA-CDC-LC0059758/2021,MZ306263.1
USA/WA-PHL-008405/2021,PP630842.1
USA/WA-CDC-UW23022736477/2023,OQ589465.1
USA/WA-PHL-017751/2022,OQ917895.1
USA/WA-PHL-024881/2022,PP786738.1
USA/WA-UW-22112312292/2022,OQ070078.1
USA/WA-CDC-LC0659238/2022,ON658938.1
USA/WA-CDC-UW21123139942/2021,OM341854.1
USA/WA-S17730/2022,OM571513.1
USA/WA-PHL-005846/2021,PQ172225.1
USA/WA-CDC-UW22033028723/2022,ON376398.1
USA/WA-PHL-030675/2022,PP787969.1
USA/WA-CDC-FG-096218/2021,OK068935.1
USA/WA-PHL-008671/2021,PQ173580.1
USA/WA-S18423/2022,OM886488.1
USA/WA-CDC-UW22081501974/2022,OP376161.1
USA/WA-S15916/2021,OM296646.1
USA/WA-UW-21051100246/2021,MZ328910.1
USA/WA-CDC-UW22113061329/2022,OQ028749.1
USA/WA-CDC-LC0329166/2021,OK612743.1
USA/WA-CDC-LC0483761/2022,OM409591.1
USA/WA-CDC-UW21073105969/2021,MZ967561.1
USA/WA-CDC-LC0721304/2022,ON894731.1
USA/WA-CDC-UW22021367914/2022,OM900931.1
USA/WA-CDC-UW22010752725/2022,OM348200.1
USA/WA-CDC-LC0471642/2022,OM367240.1
USA/WA-S20894/2022,ON810327.1
USA/WA-S14926/2021,OL740761.1
USA/WA-PHL-027310/2022,OQ782111.1
USA/WA-CDC-LC0704035/2022,ON824391.1
USA/WA-CDC-UW22101059222/2022,OP738381.1
USA/WA-UW-21080221490/2021,OK178711.1
USA/WA-UW-2021040202331/2021,MZ236799.1
USA/WA-PHL-023276/2022,PQ370446.1
USA/WA-CDC-LC0840369/2022,OP307127.1
USA/WA-CDC-UW22121766464/2022,OQ338869.1
USA/WA-UW-22022302998/2022,ON140251.1
USA/WA-PHL-003485/2021,PQ170806.1
USA/WA-CDC-LC0950916/2022,OQ072525.1
USA/WA-PHL-032717/2023,PQ372663.1
USA/WA-UW-23020392082/2023,OQ504052.1
USA/WA-PHL-018954/2022,OQ785509.1
USA/WA-UW-21113091073/2021,OM124117.1
USA/WA-CDC-UW22100419789/2022,OP651390.1
USA/WA-CDC-UW21121021697/2021,OM004375.1
USA/WA-UW-21072942783/2021,OK230024.1
USA/WA-UW-21072633142/2021,MZ835921.1
USA/WA-UW-21042616123/2021,MZ394202.1
USA/WA-PHL-018338/2022,OQ921249.1
USA/WA-PHL-019598/2022,OQ982183.1
USA/WA-CDC-UW21081987250/2021,OK058115.1
USA/WA-UW-22110878950/2022,OP967508.1
USA/WA-UW-22072833011/2022,OP348444.1
USA/WA-CDC-UW23011001926/2023,OQ306758.1
USA/WA-CDC-UW21080622579/2021,MZ895991.1
USA/WA-CDC-UW23073005090/2023,OR439370.1
USA/WA-UW-22040778672/2022,ON412535.1
USA/WA-S15666/2021,OM003812.1
USA/WA-UW-21062734686/2021,MZ570842.1
USA/WA-PHL-016441/2022,PQ400466.1
USA/WA-PHL-017641/2022,PQ370274.1
USA/WA-CDC-UW23012381328/2023,OQ403018.1
USA/WA-CDC-UW22020398200/2022,OM753269.1
USA/WA-PHL-011540/2022,PP631740.1
USA/WA-UW-21101875182/2021,OL604892.1
USA/WA-CDC-LC0367197/2021,OL560429.1
USA/WA-UW-21041927265/2021,MZ172142.1
USA/WA-UW-21051479409/2021,MZ394372.1
USA/WA-CDC-UW21081858729/2021,OK058140.1
USA/WA-CDC-LC0897092/2022,OP657278.1
USA/WA-CDC-LC0323295/2021,OK607878.1
USA/WA-CDC-UW21122186614/2021,OM188436.1
USA/WA-UW-22090829211/2022,OP678380.1
USA/WA-PHL-002726/2021,PQ170349.1
USA/WA-CDC-UW23010345215/2023,OQ271553.1
USA/WA-CDC-UW23011345114/2023,OQ306876.1
USA/WA-PHL-012734/2022,OQ872952.1
USA/WA-CDC-LC0807463/2022,OP176536.1
USA/WA-CDC-UW21121400030/2021,OM056330.1
USA/WA-PHL-009153/2021,PQ173703.1
USA/WA-CDC-UW22040154667/2022,ON376521.1
USA/WA-PHL-002085/2021,PQ170083.1
USA/WA-S17767/2022,OM571550.1
USA/WA-S513/2020,MT633036.1
USA/WA-CDC-LC0346053/2021,OL395980.1
USA/WA-PHL-032588/2023,PQ372559.1
USA/WA-CDC-LC0012096/2021,MW642797.1
USA/WA-PHL-023130/2022,OQ771859.1
USA/WA-CDC-UW22052265496/2022,ON691835.1
USA/WA-PHL-012851/2022,PQ175664.1
USA/WA-UW-23092099526/2023,OR672865.1
USA/WA-PHL-029922/2020,PQ414109.1
USA/WA-S15336/2021,OL904132.1
USA/WA-S19486/2022,ON207491.1
USA/WA-CDC-LC0426676/2021,OL995721.1
USA/WA-UW-23120891378/2023,PP059198.1
USA/WA-UW-22101456609/2022,OP824053.1
USA/WA-CDC-UW21090947379/2021,OK399720.1
USA/WA-S14410/2021,OL676543.1
USA/WA-CDC-UW22111442402/2022,OP872981.1
USA/WA-S16859/2022,OM437227.1
USA/WA-CDC-UW22110218893/2022,OP848451.1
USA/WA-CDC-UW21062345672/2021,MZ532364.1
USA/WA-S11650/2021,OK335389.1
USA/WA-S24587/2023,PP319508.1
USA/WA-UW-21072677890/2021,MZ835785.1
USA/WA-CDC-UW21070685018/2021,MZ688332.1
USA/WA-CDC-UW21092091708/2021,OK379767.1
USA/WA-S3607/2020,MW549701.2
USA/WA-UW-21072237041/2021,MZ815151.1
USA/WA-CDC-LC0602374/2022,ON466297.1
USA/WA-PHL-014293/2022,PQ176591.1
USA/WA-CDC-QDX32303641/2021,OM309326.1
USA/WA-CDC-UW21050709267/2021,MZ269738.1
USA/WA-CDC-UW21072084484/2021,OK111868.1
USA/WA-PHL-005264/2021,PP629540.1
USA/WA-CDC-FG-194439/2021,OL986727.1
USA/WA-UW-23031690090/2023,OQ704042.1
USA/WA-S24180/2023,OR948746.1
USA/WA-CDC-LC0620689/2022,ON544344.1
USA/WA-PHL-004928/2021,PP629423.1
USA/WA-CDC-LC0792110/2022,OP117613.1
USA/WA-UW-2021040106906/2021,MZ236685.1
USA/WA-PHL-000253/2021,PP697042.1
USA/WA-PHL-002850/2021,PQ170471.1
USA/WA-PHL-003743/2021,PP628766.1
USA/WA-CDC-UW22052191716/2022,ON691802.1
USA/WA-CDC-UW24012615340/2024,PP320529.1
USA/WA-UW-64867/2021,MZ151827.1
USA/WA-UW-22072470095/2022,OP348610.1
USA/WA-PHL-016325/2022,OQ881325.1
USA/WA-CDC-UW22010734917/2022,OM404266.1
USA/WA-PHL-021031/2022,PQ389533.1
USA/WA-CDC-UW21112314241/2021,OL720293.1
USA/WA-CDC-LC0890183/2022,OP553034.1
USA/WA-CDC-LC1046855/2023,OR366005.1
USA/WA-CDC-UW23081187585/2023,OR480833.1
USA/WA-UW-21061644079/2021,MZ613512.1
USA/WA-UW-21042687959/2021,MZ394311.1
USA/WA-PHL-032865/2023,PQ386093.1
USA/WA-S10746/2021,OK083376.1
USA/WA-CDC-LC0786361/2022,OP109915.1
USA/WA-CDC-LC0634608/2022,ON591491.1
USA/WA-CDC-UW22071050260/2022,OP102731.1
USA/WA-PHL-020950/2022,OQ990693.1
USA/WA-UW-22032175552/2022,ON140367.1
USA/WA-PHL-008594/2021,PQ173514.1
USA/WA-S1207/2020,MT642228.1
USA/WA-CDC-LC0793792/2022,OP119278.1
USA/WA-CDC-UW22060795176/2022,ON849264.1
USA/WA-S10468/2021,MZ976911.1
USA/WA-CDC-UW23011114373/2023,OQ306823.1
USA/WA-UW-22051125257/2022,ON678433.1
USA/WA-PHL-032545/2023,PQ372517.1
USA/WA-PHL-002836/2021,PQ170458.1
USA/WA-UW-22061667248/2022,ON891599.1
USA/WA-UW-22032517754/2022,ON249175.1
USA/WA-S2180/2020,MT831157.1
USA/WA-S3709/2021,MW549675.2
USA/WA-PHL-019537/2022,OQ720919.1
USA/WA-CDC-UW21121332275/2021,OM004412.1
USA/WA-UW-21082343846/2021,OK258262.1
USA/WA-PHL-032439/2023,PQ372419.1
USA/WA-S17291/2022,OM538511.1
USA/WA-PHL-034720/2023,PQ403582.1
USA/WA-PHL-002845/2021,PQ170466.1
USA/WA-PHL-001287/2021,PP627716.1
USA/WA-PHL-013535/2022,OQ876354.1
USA/WA-CDC-UW22072562558/2022,OP199178.1
USA/WA-CDC-UW21080272682/2021,MZ882622.1
USA/WA-CDC-LC0735392/2022,ON940016.1
USA/WA-CDC-LC0365404/2021,OL558168.1
USA/WA-CDC-UW22090249134/2022,OP493294.1
USA/WA-S17978/2022,OM676034.1
USA/WA-CDC-UW21123114075/2021,OM341728.1
USA/WA-CDC-UW23011880230/2023,OQ352973.1
USA/WA-S4592/2021,MW648095.2
USA/WA-CDC-UW22071812776/2022,OP165014.1
USA/WA-CDC-UW22031416827/2022,ON090666.1
USA/WA-PHL-018334/2022,OQ921245.1
USA/WA-CDC-UW21090797647/2021,OK301557.1
USA/WA-PHL-026808/2022,PQ371769.1
USA/WA-S13483/2021,OL373684.1
USA/WA-UW-2212/2020,MT345861.1
USA/WA-CDC-FG-096407/2021,OK142027.1
USA/WA-CDC-LC0919852/2022,OP764094.1
USA/WA-PHL-014894/2022,PQ400344.1
USA/WA-S20653/2022,ON808847.1
USA/WA-CDC-UW21072190262/2021,OK111629.1
USA/WA-CDC-UW21101006212/2021,OK640413.1
USA/WA-CDC-ASC210594596/2022,OM652900.1
USA/WA-CDC-LC0252523/2021,OK203194.1
USA/WA-PHL-004697/2021,PP629217.1
USA/WA-S19235/2022,ON207257.1
USA/WA-PHL-010643/2022,PQ174768.1
USA/WA-UW-21042272023/2021,MZ172016.1
USA/WA-UW-22121572619/2022,OQ201690.1
USA/WA-PHL-006811/2021,PP630308.1
USA/WA-UW-68005/2021,MZ232211.1
USA/WA-CDC-LC0746796/2022,ON968037.1
USA/WA-S13158/2021,OL333769.1
USA/WA-UW-24020888000/2024,PP496897.1
USA/WA-CDC-FG-284691/2022,OM881526.1
USA/WA-CDC-UW21051992712/2021,MZ357585.1
USA/WA-CDC-LC0452799/2021,OM227640.1
USA/WA-CDC-2-3980474/2021,MW938186.1
USA/WA-CDC-UW21080242766/2021,MZ882641.1
USA/WA-CDC-UW22120788879/2022,OQ080248.1
USA/WA-CDC-LC0771189/2022,OP027020.1
USA/WA-CDC-UW21123137666/2021,OM288907.1
USA/WA-CDC-UW23100389181/2023,OR686326.1
USA/WA-S20359/2022,ON660571.1
USA/WA-CDC-UW22010570278/2022,OM348089.1
USA/WA-CDC-UW22070911218/2022,OP107971.1
USA/WA-CDC-UW21060827020/2021,MZ415108.1
USA/WA-CDC-UW23031457583/2023,OQ704410.1
USA/WA-CDC-LC0756283/2022,OP000355.1
USA/WA-CDC-LC0602765/2022,ON466555.1
USA/WA-CDC-UW22031579097/2022,ON090776.1
USA/WA-PHL-009461/2021,PP631241.1
USA/WA-UW-5884/2020,MT412286.1
USA/WA-S18754/2022,OM955332.1
USA/WA-CDC-LC0735267/2022,ON940474.1
USA/WA-S12390/2021,OK546440.1
USA/WA-S14263/2021,OL676399.1
USA/WA-UW-21111806830/2021,OL965516.1
USA/WA-UW-22082563995/2022,OP601803.1
USA/WA-CDC-UW22062289336/2022,ON982636.1
USA/WA-UW-21050479601/2021,MZ328795.1
USA/WA-CDC-LC0444817/2021,OM175526.1
USA/WA-CDC-LC0573661/2022,ON295739.1
USA/WA-CDC-UW22090227565/2022,OP493284.1
USA/WA-PHL-014820/2022,PQ400271.1
USA/WA-CDC-LC0551517/2022,OM941051.1
USA/WA-PHL-019140/2022,OQ720747.1
USA/WA-CDC-UW23032092566/2023,OQ833244.1
USA/WA-CDC-LC0723760/2022,ON896881.1
USA/WA-UW-4068/2020,MT358743.1
USA/WA-PHL-001214/2021,PP627646.1
USA/WA-CDC-UW21090227973/2021,OK264971.1
USA/WA-CDC-UW22070589248/2022,ON999439.1
USA/WA-PHL-009993/2022,PP631487.1
USA/WA-CDC-LC0276143/2021,OK366572.1
USA/WA-UW-22091976083/2022,OP678849.1
USA/WA-CDC-QDX34746800/2022,ON084372.1
USA/WA-CDC-UW22040363242/2022,ON305133.1
USA/WA-PHL-013611/2022,OQ876425.1
USA/WA-CDC-LC0860155/2022,OP385596.1
USA/WA-CDC-LC0394901/2021,OL833646.1
USA/WA-UW-21051405810/2021,MZ394479.1
USA/WA-CDC-UW22110535726/2022,OP861034.1
USA/WA-PHL-014988/2022,PQ400438.1
USA/WA-CDC-UW22122244422/2022,OQ339006.1
USA/WA-CDC-UW22060824355/2022,ON827267.1
USA/WA-S20079/2022,ON660636.1
USA/WA-PHL-030493/2020,PQ414413.1
USA/WA-CDC-UW23032898511/2023,OQ833524.1
USA/WA-UW-67793/2021,MZ231953.1
USA/WA-UW-21073116015/2021,OK144489.1
USA/WA-CDC-FG-237737/2022,OM331507.1
USA/WA-CDC-LC0483888/2022,OM409152.1
USA/WA-CDC-UW22110683435/2022,OP861079.1
USA/WA-PHL-028444/2020,PQ413215.1
USA/WA-CDC-LC0723788/2022,ON895514.1
USA/WA-CDC-LC0944060/2022,OP992308.1
USA/WA-PHL-017717/2022,OQ917869.1
USA/WA-PHL-026268/2022,PQ371623.1
USA/WA-CDC-UW21092508742/2021,OK447974.1
USA/WA-CDC-LC0127253/2021,OK126480.1
USA/WA-PHL-009805/2021,PQ174060.1
USA/WA-S10484/2021,MZ976927.1
USA/WA-PHL-031983/2023,PQ372019.1
USA/WA-PHL-016245/2022,OQ711607.1
USA/WA-PHL-002126/2021,PQ170120.1
USA/WA-PHL-003146/2021,PP628563.1
USA/WA-UW-21041968820/2021,MZ232596.1
USA/WA-CDC-UW22121301897/2022,OQ130932.1
USA/WA-S13186/2021,OL333818.1
USA/WA-UW-22060123080/2022,ON740866.1
USA/WA-S17019/2022,OM457957.1
USA/WA-CDC-UW22122742910/2022,OQ204705.1
USA/WA-UW-2021040706862/2021,MZ240092.1
USA/WA-CDC-UW22021314876/2022,OM900928.1
USA/WA-S5647/2021,MW868648.1
USA/WA-PHL-028557/2020,PQ413319.1
USA/WA-UW-22060132008/2022,ON796385.1
USA/WA-UW-21072698733/2021,MZ835832.1
USA/WA-CDC-UW23022775517/2023,OQ589438.1
USA/WA-UW-22041086864/2022,ON412719.1
USA/WA-CDC-UW22030284364/2022,ON026298.1
USA/WA-UW-22042743606/2022,ON740724.1
USA/WA-CDC-UW23021027214/2023,OQ472745.1
USA/WA-UW-22082369872/2022,OP457513.1
USA/WA-S5480/2021,MW774057.1
USA/WA-PHL-017519/2022,PQ370185.1
USA/WA-CDC-UW22021120868/2022,OM900790.1
USA/WA-CDC-UW21082745630/2021,OK110857.1
USA/WA-CDC-UW21121137431/2021,OL914425.1
USA/WA-CDC-UW23020319527/2023,OQ443347.1
USA/WA-CDC-UW22122294008/2022,OQ338971.1
USA/WA-CDC-LC0639170/2022,ON608418.1
USA/WA-UW-23100493060/2023,OR707095.1
USA/WA-S18397/2022,OM886470.1
USA/WA-UW-22062192792/2022,ON987101.1
USA/WA-PHL-028953/2020,PQ413662.1
USA/WA-PHL-001542/2021,PQ169880.1
USA/WA-S14665/2021,OL740477.1
USA/WA-CDC-LC0500405/2022,OM498116.1
USA/WA-CDC-UW22120621173/2022,OQ080212.1
USA/WA-S692/2020,MT641513.1
USA/WA-UW-21092110888/2021,OK375259.1
USA/WA-PHL-011735/2022,PQ175140.1
USA/WA-PHL-030284/2022,PP787791.1
USA/WA-CDC-LC1033955/2023,OQ748309.1
USA/WA-S7189/2021,MZ158487.1
USA/WA-PHL-022117/2022,PP478234.1
USA/WA-PHL-032155/2022,OQ836069.1
USA/WA-UW-22040225862/2022,ON381083.1
USA/WA-CDC-LC0361292/2021,OL487387.1
USA/WA-S5274/2020,MW773878.1
USA/WA-CDC-UW21062836619/2021,OK189467.1
USA/WA-PHL-031270/2022,PP788320.1
USA/WA-CDC-UW22010265889/2022,OM347971.1
USA/WA-PHL-026838/2022,PQ371794.1
USA/WA-CDC-UW21042715625/2021,MZ199118.1
USA/WA-PHL-003000/2021,PQ170621.1
USA/WA-UW-21051180089/2021,MZ328898.1
USA/WA-CDC-UW21090369852/2021,OK301869.1
USA/WA-CDC-QDX35777152/2022,ON334882.1
USA/WA-CDC-UW21060311852/2021,MZ415272.1
USA/WA-CDC-UW22010294402/2022,OM288965.1
USA/WA-CDC-UW21121052780/2021,OL914234.1
USA/WA-CDC-QDX36157829/2022,ON451861.1
USA/WA-CDC-LC0581927/2022,ON373294.1
USA/WA-CDC-LC0285028/2021,OK364025.1
USA/WA-PHL-033910/2021,PQ414694.1
USA/WA-S14207/2021,OL584832.1
USA/WA-UW-22082338964/2022,OP412741.1
USA/WA-UW-23012588820/2023,OQ389909.1
USA/WA-CDC-LC0422458/2021,OL993845.1
USA/WA-UW-22052472599/2022,ON711439.1
USA/WA-PHL-023262/2022,PQ370435.1
USA/WA-UW-21072999218/2021,MZ971008.1
USA/WA-PHL-028130/2022,OQ785232.1
USA/WA-CDC-UW21122770322/2021,OM232627.1
USA/WA-PHL-004164/2021,PP628972.1
USA/WA-S21202/2022,ON981642.1
USA/WA-CDC-UW22070383084/2022,ON999328.1
USA/WA-PHL-029340/2020,PQ413899.1
USA/WA-S721/2020,MT641542.1
USA/WA-UW170/2020,OR223326.1
USA/WA-CDC-LC0639141/2022,ON609423.1
USA/WA-CDC-UW22061853700/2022,ON955951.1
USA/WA-S15509/2021,OM003748.1
USA/WA-CDC-LC0724427/2022,ON895798.1
USA/WA-CDC-UW21080663384/2021,MZ895972.1
USA/WA-UW-2021040107427/2021,MZ236746.1
USA/WA-CDC-LC0998923/2023,OQ403182.1
USA/WA-CDC-LC0620535/2022,ON544459.1
USA/WA-CDC-UW21081962613/2021,OK095911.1
USA/WA-UW-21102974158/2021,OL604889.1
USA/WA-UW-1731/2020,MT326156.1
USA/WA-PHL-028136/2022,OQ785238.1
USA/WA-PHL-007075/2021,PP630561.1
USA/WA-CDC-LC0724411/2022,ON897113.1
USA/WA-CDC-UW21111017098/2021,OL597492.1
USA/WA-UW-22042557722/2022,ON478480.1
USA/WA-CDC-FG-189920/2021,OL897713.1
USA/WA-CDC-UW21120724302/2021,OM056061.1
USA/WA-UW-21042030700/2021,MZ172294.1
USA/WA-UW-2021040606119/2021,MZ239178.1
USA/WA-CDC-QDX85699049/2023,OR649808.1
USA/WA-S7312/2021,MZ222581.1
USA/WA-UW-23031840373/2023,OQ704124.1
USA/WA-UW-22091978930/2022,OP678348.1
USA/WA-S10431/2021,MZ976879.1
USA/WA-CDC-UW21090828619/2021,OK301685.1
USA/WA-CDC-UW23011840701/2023,OQ352976.1
USA/WA-CDC-UW21073156674/2021,MZ967556.1
USA/WA-UW-21121864501/2021,OM295773.1
USA/WA-UW-22110320786/2022,OP939577.1
USA/WA-CDC-LC0654388/2022,ON702734.1
USA/WA-UW-22050960847/2022,ON627008.1
USA/WA-CDC-QDX25930960/2021,OK248207.1
USA/WA-CDC-LC0329538/2021,OK610943.1
USA/WA-PHL-013056/2022,PQ175857.1
USA/WA-CDC-LC0253153/2021,OK203368.1
USA/WA-CDC-STM-000008007/2021,MW596109.1
USA/WA-S18986/2022,ON052927.1
USA/WA-PHL-030052/2020,PQ414235.1
USA/WA-PHL-023496/2022,PQ370522.1
USA/WA-UW-21051510169/2021,MZ394484.1
